"INSTANT COFFEE TYPE,REGION,SUB REGION,Country,Country Code,Segment,Sub-segment,SBUX Segments,Manufacturer,Brand,Time,Volume in cups Sales,Value Sales Local"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-07-2019,7954976,69914514"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-08-2019,2176979,83081613"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-09-2019,141527,61269253"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-10-2019,7820296,3522806"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-10-2020,8938761,26319184"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-11-2020,1042541,68652344"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,WOOLWORTHS,01-11-2019,4850827,68414626"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,STARBUCKS,01-04-2020,5325593,66535934"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,STARBUCKS,01-05-2020,4507150,59510017"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,STARBUCKS,01-06-2020,2982319,75334992"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,STARBUCKS,01-07-2020,1355547,87850878"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,STARBUCKS,01-08-2020,8509084,77405623"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,STARBUCKS,01-09-2020,2572672,85445951"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,STARBUCKS,01-10-2020,8458639,9229851"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,STARBUCKS,01-11-2020,5295002,76643893"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-01-2019,4796691,54879922"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-02-2019,8281663,98368526"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-03-2019,6471359,53812123"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-04-2019,5883965,65381776"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-05-2019,8128621,28306874"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-12-2019,3453260,24799414"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-01-2020,4946582,56687259"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-02-2020,8331460,22431325"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-03-2020,2512822,58386466"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-04-2020,4336398,36617319"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-05-2020,1958936,45884355"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-06-2020,3293513,57017849"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-07-2020,705714,76168520"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-08-2020,2514684,54866453"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-09-2020,1054874,17976747"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-06-2019,2249323,71077149"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-07-2019,1301806,89407117"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-08-2019,6676430,13245152"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-09-2019,4158152,57399858"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-10-2019,763740,22982797"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-10-2020,774759,64510465"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-11-2020,7691681,78560450"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,SPAR,SPAR,01-11-2019,2367198,61530035"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-04-2019,2463312,75290756"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-05-2019,8786695,80873128"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-12-2019,2074698,44508167"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-01-2020,8608774,66494449"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-02-2020,6099721,83064946"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-03-2020,5126631,83867246"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-04-2020,2940420,74464689"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-05-2020,2361285,29963443"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-06-2020,6551940,4993414"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-07-2020,1294534,49229491"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-08-2020,1475937,76834479"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-09-2020,336828,557861"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-06-2019,1627403,63126780"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-07-2019,7813151,78641924"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-08-2019,8824836,81852693"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-09-2019,2658320,7700677"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-10-2019,2147263,7243991"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-10-2020,3826154,26633252"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-11-2020,4733861,21893837"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,FRESH FOOD SERVICES,ROBERT TIMMS,01-11-2019,1587247,9553230"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-01-2019,4262823,98582752"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-02-2019,4914666,38147277"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-03-2019,4537595,27059484"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-04-2019,1828780,49782061"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-05-2019,3819940,3487623"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-12-2019,6555227,57073220"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-01-2020,28592,158252"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-02-2020,2204198,37599656"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-03-2020,8017421,85061335"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-04-2020,2600468,83060525"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-05-2020,3902476,25355281"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-06-2020,3500171,31744079"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-07-2020,1732140,26271463"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-08-2020,1701087,78077499"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-09-2020,2739367,30786372"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-06-2019,1904782,99466334"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-07-2019,361100,13229379"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-08-2019,3044081,36108708"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-09-2019,8235649,88309507"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-10-2019,4455793,41695549"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-10-2020,5338462,27602788"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-11-2020,5703266,45991244"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,OLD TOWN,OLD TOWN,01-11-2019,3978353,46774064"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-01-2019,5702890,23655514"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-02-2019,2768825,96701629"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-03-2019,7276231,23582469"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-04-2019,3502753,77607968"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-05-2019,6976851,24798535"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-12-2019,3857536,85453648"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-01-2020,3158161,85204610"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-02-2020,7026020,69248000"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-03-2020,5576300,14784220"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-04-2020,471342,71014024"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-05-2020,5274563,42336282"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-06-2020,7754754,43213949"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-07-2020,6281896,32921660"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-08-2020,1864505,74082091"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-09-2020,2407499,52661283"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-06-2019,7081822,85202454"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-07-2019,4459868,80853290"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-08-2019,1971661,47166657"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-09-2019,1708793,41901228"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-10-2019,3289628,34734704"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-10-2020,378495,39816262"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-11-2020,1345916,54750902"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,NESTLE,NESCAFE,01-11-2019,3937861,89776569"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-01-2019,5854178,29178358"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-02-2019,3819283,46215395"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-03-2019,5199421,35812575"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-04-2019,7559806,5070253"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-05-2019,4498348,72847289"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-12-2019,4281798,86216297"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-01-2020,6312653,62444815"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-02-2020,5124640,80472436"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-03-2020,8242474,5013208"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-04-2020,1510099,15349009"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-05-2020,4806831,406443"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-06-2020,6896602,6423104"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-07-2020,71526,9328568"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-08-2020,2733130,65271603"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-09-2020,162348,41466719"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-06-2019,6338395,36410261"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-07-2019,7543239,97336736"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-08-2019,8127518,20644109"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-09-2019,795542,95369490"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-10-2019,5616039,98607616"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-10-2020,6942027,18098352"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-11-2020,6126284,73316209"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,JDE,MOCCONA,01-11-2019,2138040,86469880"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-01-2019,7400170,20010446"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-02-2019,8686710,16205592"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-03-2019,728705,26604698"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-04-2019,3901504,90590637"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-05-2019,993100,60058420"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-12-2019,7622109,30845812"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-01-2020,2005578,76418062"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-02-2020,1084094,43043819"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-03-2020,3015877,23388315"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-04-2020,2265873,47832410"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-05-2020,1875301,9450216"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-06-2020,4181473,5237375"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-07-2020,8367098,28077106"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-08-2020,3336856,82681375"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-09-2020,6319372,53432648"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-06-2019,5491683,44967295"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-07-2019,4231023,58535131"
"MIX,AOA,OCEANIA,AUSTRALIA,AU,INSTANT,PORTIONED NON SYSTEM,Soluble,PRIVATE LABEL,COLES,01-08-2019,7450207,85066849"
